step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,912,16,0.37922623323224236,0.0,0.0,0.41309698381178594,0.0,0.0,,,,,,
2,1568,32,0.4883021529005778,0.0,0.0,,,,,,,,,
3,2480,48,0.28225969828438924,0.0,0.0,,,,,,,,,
4,3520,64,0.17912367116315522,0.0,0.0,,,,,,,,,
5,4432,80,0.1458773659662503,0.0,0.0,,,,,,,,,
6,5472,96,0.06228158740212507,0.6875,0.6875,,,,,,,,,
7,6256,112,0.043251030537409745,0.6875,0.6875,,,,,,,,,
8,6912,128,0.05152499382606822,0.5,0.5,,,,,,,,,
9,7568,144,0.05104880228972826,0.5625,0.5625,0.03576346569203971,0.5625,0.5625,,,,,,
10,8352,160,0.04036218405906406,0.6875,0.6875,,,,,,,,,
11,9392,176,0.03890267889577402,0.4375,0.4375,,,,,,,,,
12,10176,192,0.04229518607236248,0.75,0.75,,,,,,,,,
13,11216,208,0.03591010533896679,1.0,1.0,,,,,,,,,
14,12128,224,0.03680971813431825,0.75,0.75,,,,,,,,,
15,13296,240,0.024556028545408077,0.9375,0.9375,,,,,,,,,
16,14080,256,0.02268892760857853,1.0,1.0,,,,,,,,,
17,14992,272,0.03168829541375479,1.0,1.0,0.0275382408443433,0.9375,0.9375,,,,,,
18,15776,288,0.030031275230774857,0.8125,0.8125,,,,,,,,,
19,16688,304,0.028520143733361307,1.0,1.0,,,,,,,,,
20,17728,320,0.024440693304313754,0.9375,0.9375,,,,,,,,,
21,18512,336,0.024044459573494045,0.9375,0.9375,,,,,,,,,
22,19424,352,0.02592574322154958,1.0,1.0,,,,,,,,,
23,20336,368,0.023335944593020807,0.9375,0.9375,,,,,,,,,
24,21120,384,0.022168435856777555,1.0,1.0,,,,,,,,,
25,21904,400,0.0274219746082872,0.9375,0.9375,0.02109971307183514,1.0,1.0,,,,,,
26,22816,416,0.017969381115053695,0.9375,0.9375,,,,,,,,,
27,23728,432,0.028686717114695576,0.8125,0.8125,,,,,,,,,
28,24384,448,0.02832820343212007,0.9375,0.9375,,,,,,,,,
29,25424,464,0.01938372101282198,0.9375,0.9375,,,,,,,,,
30,26080,480,0.025521227568413452,0.9375,0.9375,,,,,,,,,
31,26864,496,0.02436803584510623,1.0,1.0,,,,,,,,,
32,27648,512,0.023543540397672588,1.0,1.0,,,,,,,,,
33,28304,528,0.02086501975575811,1.0,1.0,0.020388870240434474,1.0,1.0,,,,,,
34,29216,544,0.019451949986332696,1.0,1.0,,,,,,,,,
35,30000,560,0.021851573543550936,1.0,1.0,,,,,,,,,
36,30912,576,0.018294920684210018,1.0,1.0,,,,,,,,,
37,31696,592,0.02296039002529293,1.0,1.0,,,,,,,,,
38,32736,608,0.01966504932238536,1.0,1.0,,,,,,,,,
39,33520,624,0.02328349990018523,0.9375,0.9375,,,,,,,,,
40,34560,640,0.01928156765805511,1.0,1.0,,,,,,,,,
41,35344,656,0.023155621886558037,0.9375,0.9375,0.02090604700189791,1.0,1.0,,,,,,
42,36128,672,0.018371722310175757,0.9375,0.9375,,,,,,,,,
43,37040,688,0.019485181026451366,0.875,0.875,,,,,,,,,
44,37952,704,0.022091381065479903,1.0,1.0,,,,,,,,,
45,38864,720,0.01851808553630138,0.9375,0.9375,,,,,,,,,
46,39776,736,0.01792053147993524,1.0,1.0,,,,,,,,,
47,40560,752,0.024856563543260112,1.0,1.0,,,,,,,,,
48,41344,768,0.02719435303881634,0.9375,0.9375,,,,,,,,,
49,42256,784,0.020772648129957688,1.0,1.0,0.023774701254250435,1.0,1.0,,,,,,
50,43040,800,0.018902784103693948,1.0,1.0,,,,,,,,,
51,43952,816,0.021785144541847785,1.0,1.0,,,,,,,,,
52,44736,832,0.019731173536358712,1.0,1.0,,,,,,,,,
53,45648,848,0.017683260249415463,0.9375,0.9375,,,,,,,,,
54,46816,864,0.019305686378563933,1.0,1.0,,,,,,,,,
55,47600,880,0.02151649982666337,1.0,1.0,,,,,,,,,
56,48640,896,0.021339073072083468,1.0,1.0,,,,,,,,,
57,49552,912,0.019667779403763623,1.0,1.0,0.017762609841923096,1.0,1.0,,,,,,
