step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,912,16,0.5515703558720647,0.0,0.0,0.7043779426659552,0.0,0.0,,,,,,
2,1824,32,0.55183615952285,0.0,0.0,,,,,,,,,
3,2736,48,0.5260952924531908,0.0,0.0,,,,,,,,,
4,3520,64,0.6596371182425093,0.0,0.0,,,,,,,,,
5,4432,80,0.561971860069081,0.0,0.0,,,,,,,,,
6,5216,96,0.6005001541411499,0.0,0.0,,,,,,,,,
7,6128,112,0.5114600863339026,0.0,0.0,,,,,,,,,
8,6912,128,0.5722274473060437,0.0,0.0,,,,,,,,,
9,7824,144,0.5160112508567756,0.0,0.0,0.5974615764968022,0.0,0.0,,,,,,
10,8480,160,0.6469813934260383,0.0,0.0,,,,,,,,,
11,9264,176,0.5643122679104698,0.0,0.0,,,,,,,,,
12,10048,192,0.5454054385564311,0.0,0.0,,,,,,,,,
13,10832,208,0.48703216541014577,0.0,0.0,,,,,,,,,
14,11872,224,0.35987838251962073,0.0,0.0,,,,,,,,,
15,12784,240,0.3976394449576372,0.0,0.0,,,,,,,,,
16,13568,256,0.42368842364950376,0.0,0.0,,,,,,,,,
17,14352,272,0.4253128039361393,0.0,0.0,0.34698617950639943,0.0,0.0,,,,,,
18,15136,288,0.4014542754684813,0.0,0.0,,,,,,,,,
19,15920,304,0.34188409942395354,0.0,0.0,,,,,,,,,
20,16576,320,0.4130465027996998,0.0,0.0,,,,,,,,,
21,17360,336,0.32893076093827706,0.0,0.0,,,,,,,,,
22,18272,352,0.2655039085756,0.0,0.0,,,,,,,,,
23,19056,368,0.2861282989443945,0.0,0.0,,,,,,,,,
24,19840,384,0.2793156429497032,0.0,0.0,,,,,,,,,
25,20624,400,0.24962589352880968,0.0,0.0,0.1717595065204594,0.0,0.0,,,,,,
